step,score
456,-211.0
457,-167.0
458,-85.0
459,-122.0
460,-128.0
461,-85.0
462,-260.0
463,-192.0
464,-361.0
465,-132.0
466,-218.0
467,-155.0
468,-163.0
469,-174.0
470,-269.0
471,-215.0
472,-144.0
473,-131.0
474,-84.0
475,-146.0
476,-117.0
477,-209.0
478,-95.0
479,-227.0
480,-121.0
481,-139.0
482,-273.0
483,-192.0
484,-294.0
485,-294.0
486,-221.0
487,-251.0
488,-500.0
489,-180.0
490,-287.0
491,-184.0
492,-218.0
493,-188.0
494,-207.0
495,-369.0
496,-322.0
497,-143.0
498,-217.0
499,-381.0
500,-459.0
501,-189.0
502,-328.0
503,-157.0
504,-355.0
505,-103.0
506,-174.0
507,-336.0
508,-267.0
509,-257.0
510,-151.0
511,-222.0
512,-130.0
513,-111.0
514,-107.0
515,-154.0
516,-164.0
517,-161.0
518,-114.0
519,-169.0
520,-254.0
521,-236.0
522,-184.0
523,-196.0
524,-199.0
525,-181.0
526,-143.0
527,-117.0
528,-180.0
529,-271.0
530,-200.0
531,-144.0
532,-93.0
533,-149.0
534,-164.0
535,-137.0
536,-189.0
537,-174.0
538,-123.0
539,-185.0
540,-127.0
541,-145.0
542,-166.0
543,-161.0
544,-117.0
545,-111.0
546,-225.0
547,-170.0
548,-163.0
549,-131.0
550,-190.0
551,-107.0
552,-101.0
553,-100.0
554,-80.0
555,-86.0
556,-143.0
557,-94.0
558,-126.0
559,-118.0
560,-119.0
561,-113.0
562,-500.0
563,-82.0
564,-500.0
565,-137.0
566,-207.0
567,-200.0
568,-142.0
569,-186.0
570,-197.0
571,-144.0
572,-197.0
573,-234.0
574,-149.0
575,-190.0
576,-153.0
577,-135.0
578,-254.0
579,-378.0
580,-124.0
581,-177.0
582,-142.0
583,-127.0
584,-152.0
585,-182.0
586,-238.0
587,-129.0
588,-222.0
589,-148.0
590,-353.0
591,-191.0
592,-212.0
593,-128.0
594,-223.0
595,-212.0
596,-211.0
597,-196.0
598,-152.0
599,-188.0
600,-304.0
601,-171.0
602,-184.0
603,-131.0
604,-208.0
605,-113.0
606,-140.0
607,-126.0
608,-117.0
609,-116.0
610,-166.0
611,-180.0
612,-83.0
613,-141.0
614,-143.0
615,-116.0
616,-121.0
617,-99.0
618,-106.0
619,-127.0
620,-159.0
621,-99.0
622,-108.0
623,-124.0
624,-275.0
625,-115.0
626,-85.0
627,-192.0
628,-95.0
629,-116.0
630,-93.0
631,-108.0
632,-129.0
633,-114.0
634,-134.0
635,-107.0
636,-90.0
637,-139.0
638,-94.0
639,-123.0
640,-115.0
641,-173.0
642,-101.0
643,-95.0
644,-157.0
645,-141.0
646,-120.0
647,-120.0
648,-148.0
649,-138.0
650,-119.0
651,-183.0
652,-116.0
653,-175.0
654,-135.0
655,-170.0
656,-215.0
657,-180.0
658,-217.0
659,-136.0
660,-131.0
661,-215.0
662,-128.0
663,-131.0
664,-119.0
665,-125.0
666,-124.0
667,-152.0
668,-105.0
669,-87.0
670,-101.0
671,-94.0
672,-125.0
673,-74.0
674,-92.0
675,-186.0
676,-111.0
677,-203.0
678,-159.0
679,-173.0
680,-247.0
681,-239.0
682,-291.0
683,-156.0
684,-136.0
685,-127.0
686,-196.0
687,-149.0
688,-213.0
689,-104.0
690,-219.0
691,-252.0
692,-242.0
693,-171.0
694,-116.0
695,-265.0
696,-193.0
697,-188.0
698,-167.0
699,-198.0
700,-108.0
701,-144.0
702,-230.0
703,-178.0
704,-127.0
705,-171.0
706,-120.0
707,-140.0
708,-95.0
709,-253.0
710,-96.0
711,-150.0
712,-124.0
713,-133.0
714,-284.0
715,-188.0
716,-226.0
717,-112.0
718,-108.0
719,-375.0
720,-228.0
721,-303.0
722,-295.0
723,-178.0
724,-115.0
725,-86.0
726,-88.0
727,-142.0
728,-114.0
729,-95.0
730,-64.0
731,-178.0
732,-130.0
733,-95.0
734,-131.0
735,-102.0
736,-213.0
737,-149.0
738,-106.0
739,-236.0
740,-146.0
741,-97.0
742,-209.0
743,-130.0
744,-187.0
745,-78.0
746,-153.0
747,-196.0
748,-88.0
749,-208.0
750,-226.0
751,-155.0
752,-182.0
753,-159.0
754,-149.0
755,-91.0
756,-275.0
757,-201.0
758,-89.0
759,-97.0
760,-222.0
761,-114.0
762,-118.0
763,-169.0
764,-198.0
765,-183.0
766,-213.0
767,-221.0
768,-198.0
769,-101.0
770,-236.0
771,-360.0
772,-148.0
773,-114.0
774,-185.0
775,-161.0
776,-137.0
777,-132.0
778,-201.0
779,-286.0
780,-232.0
781,-141.0
782,-149.0
783,-140.0
784,-144.0
785,-283.0
786,-257.0
787,-109.0
788,-161.0
789,-116.0
790,-123.0
791,-436.0
792,-73.0
793,-128.0
794,-148.0
795,-141.0
796,-107.0
