step,score
456,-126.0
457,-86.0
458,-118.0
459,-105.0
460,-205.0
461,-135.0
462,-114.0
463,-92.0
464,-101.0
465,-93.0
466,-95.0
467,-189.0
468,-97.0
469,-133.0
470,-132.0
471,-112.0
472,-95.0
473,-205.0
474,-210.0
475,-175.0
476,-143.0
477,-130.0
478,-86.0
479,-144.0
480,-171.0
481,-135.0
482,-133.0
483,-106.0
484,-131.0
485,-117.0
486,-155.0
487,-138.0
488,-153.0
489,-116.0
490,-128.0
491,-83.0
492,-81.0
493,-108.0
494,-126.0
495,-147.0
496,-146.0
497,-192.0
498,-162.0
499,-112.0
500,-117.0
501,-91.0
502,-131.0
503,-172.0
504,-157.0
505,-103.0
506,-116.0
507,-173.0
508,-241.0
509,-267.0
510,-155.0
511,-163.0
512,-157.0
513,-149.0
514,-133.0
515,-203.0
516,-120.0
517,-80.0
518,-211.0
519,-132.0
520,-131.0
521,-113.0
522,-161.0
523,-123.0
524,-112.0
525,-126.0
526,-109.0
527,-145.0
528,-220.0
529,-184.0
530,-93.0
531,-123.0
532,-116.0
533,-110.0
534,-92.0
535,-128.0
536,-184.0
537,-156.0
538,-115.0
539,-166.0
540,-227.0
541,-118.0
542,-242.0
543,-170.0
544,-167.0
545,-141.0
546,-160.0
547,-124.0
548,-147.0
549,-149.0
550,-150.0
551,-170.0
552,-146.0
553,-266.0
554,-105.0
555,-136.0
556,-113.0
557,-236.0
558,-168.0
559,-124.0
560,-106.0
561,-350.0
562,-118.0
563,-102.0
564,-135.0
565,-131.0
566,-175.0
567,-218.0
568,-102.0
569,-121.0
570,-112.0
571,-131.0
572,-78.0
573,-246.0
574,-107.0
575,-102.0
576,-182.0
577,-173.0
578,-183.0
579,-173.0
580,-229.0
581,-107.0
582,-143.0
583,-144.0
584,-239.0
585,-103.0
586,-103.0
587,-122.0
588,-162.0
589,-117.0
590,-117.0
591,-135.0
592,-199.0
593,-122.0
594,-136.0
595,-134.0
596,-98.0
597,-131.0
598,-149.0
599,-179.0
600,-133.0
601,-164.0
602,-93.0
603,-153.0
604,-132.0
605,-117.0
606,-178.0
607,-164.0
608,-180.0
609,-227.0
610,-179.0
611,-146.0
612,-134.0
613,-146.0
614,-229.0
615,-153.0
616,-166.0
617,-139.0
618,-151.0
619,-99.0
620,-97.0
621,-176.0
622,-245.0
623,-128.0
624,-141.0
625,-143.0
626,-117.0
627,-142.0
628,-147.0
629,-118.0
630,-141.0
631,-225.0
632,-208.0
633,-112.0
634,-99.0
635,-204.0
636,-190.0
637,-114.0
638,-242.0
639,-115.0
640,-123.0
641,-124.0
642,-168.0
643,-240.0
644,-145.0
645,-135.0
646,-164.0
647,-150.0
648,-178.0
649,-183.0
650,-201.0
651,-422.0
652,-145.0
653,-217.0
654,-266.0
655,-137.0
656,-126.0
657,-150.0
658,-159.0
659,-116.0
660,-95.0
661,-114.0
662,-167.0
663,-125.0
664,-166.0
665,-125.0
666,-115.0
667,-112.0
668,-84.0
669,-145.0
670,-174.0
671,-128.0
672,-156.0
673,-178.0
674,-127.0
675,-119.0
676,-108.0
677,-226.0
678,-195.0
679,-131.0
680,-136.0
681,-140.0
682,-92.0
683,-102.0
684,-130.0
685,-139.0
686,-107.0
687,-176.0
688,-147.0
689,-82.0
690,-222.0
691,-115.0
692,-101.0
693,-88.0
694,-177.0
695,-152.0
696,-113.0
697,-135.0
698,-124.0
699,-146.0
700,-119.0
701,-122.0
702,-146.0
703,-142.0
704,-167.0
705,-96.0
706,-115.0
707,-98.0
708,-111.0
709,-164.0
710,-176.0
711,-162.0
712,-101.0
713,-108.0
714,-106.0
715,-121.0
716,-102.0
717,-112.0
718,-80.0
719,-117.0
720,-102.0
721,-136.0
722,-105.0
723,-99.0
724,-97.0
725,-113.0
726,-97.0
727,-113.0
728,-153.0
729,-130.0
730,-141.0
731,-90.0
732,-119.0
733,-136.0
734,-114.0
735,-192.0
736,-85.0
